NAME,MAP,SENSOR,PROD,ALG,PERIOD,PERIOD_CODE,MATH,UNITS,MTIME_FILE,MTIME_SUBAREA,REGION,SUBAREA,N_SUBAREA,N,MIN,MAX,MED,AMEAN,GMEAN,STD,GSTATS_N,GSTATS_MIN,GSTATS_MAX,GSTATS_MED,GSTATS_AMEAN,GSTATS_GMEAN,GSTATS_STD,,
M_199709-OCCCI-L3B4-MICRO-BREWINSST_NES-STATS,L3B4,OCCCI,MICRO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594991195,1595002203,ATLANTIS_NEUS,23,20,16,0.571943641,1.175792813,0.895760715,0.927694157,0.912658303,0.168222176,16,0.544602811,1.167705178,0.88924557,0.916883774,0.899555104,0.178266868,,
M_199709-OCCCI-L3B4-MICRO-BREWINSST_NES-STATS,L3B4,OCCCI,MICRO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594991195,1595002203,ATLANTIS_NEUS,25,1818,1280,0.140236095,3.393445969,0.455652803,0.569835127,0.446210717,0.431109943,1280,0.139640257,3.366897345,0.439096987,0.553014314,0.431247464,0.423607931,,
M_199709-OCCCI-L3B4-MICRO-BREWINSST_NES-STATS,L3B4,OCCCI,MICRO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594991195,1595002203,ATLANTIS_NEUS,20,511,511,0.117521785,0.462940603,0.210168138,0.215872507,0.208940147,0.056627292,511,0.107991397,0.404562205,0.200976267,0.205653911,0.199612643,0.051352175,,
M_199709-OCCCI-L3B4-MICRO-BREWINSST_NES-STATS,L3B4,OCCCI,MICRO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594991195,1595002203,ATLANTIS_NEUS,21,314,314,0.10412439,0.870684683,0.275477171,0.288476408,0.274712998,0.091689399,314,0.102031417,0.466191769,0.264576912,0.269138685,0.258882528,0.073371167,,
M_199709-OCCCI-L3B4-MICRO-BREWINSST_NES-STATS,L3B4,OCCCI,MICRO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594991195,1595002203,ATLANTIS_NEUS,13,734,729,0.243376404,1.064015269,0.568440974,0.57666951,0.55266093,0.164700586,729,0.229005367,0.998707116,0.540853977,0.548634927,0.524204603,0.161729773,,
M_199709-OCCCI-L3B4-MICRO-BREWINSST_NES-STATS,L3B4,OCCCI,MICRO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594991195,1595002203,ATLANTIS_NEUS,14,669,669,0.051184058,0.52635175,0.174223766,0.203972582,0.177810695,0.105108991,669,0.050006315,0.486021876,0.151449934,0.181482866,0.159483861,0.092213328,,
M_199709-OCCCI-L3B4-MICRO-BREWINSST_NES-STATS,L3B4,OCCCI,MICRO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594991195,1595002203,ATLANTIS_NEUS,11,804,803,0.085790969,1.095094085,0.156802803,0.181861817,0.16709827,0.1021626,803,0.083172731,1.067653894,0.150939897,0.170941316,0.158970144,0.090627614,,
M_199709-OCCCI-L3B4-MICRO-BREWINSST_NES-STATS,L3B4,OCCCI,MICRO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594991195,1595002203,ATLANTIS_NEUS,10,598,526,0.139736161,2.54632163,0.662801862,0.701889255,0.613940034,0.366384874,526,0.139035076,2.54632163,0.638221443,0.672443086,0.582458811,0.364645276,,
M_199709-OCCCI-L3B4-MICRO-BREWINSST_NES-STATS,L3B4,OCCCI,MICRO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594991195,1595002203,ATLANTIS_NEUS,12,252,239,0.093582615,1.008847594,0.327770084,0.347308993,0.327227357,0.12589495,239,0.093582623,1.008847594,0.310737431,0.333742049,0.313090633,0.12749327,,
M_199709-OCCCI-L3B4-MICRO-BREWINSST_NES-STATS,L3B4,OCCCI,MICRO,BREWINSST_NES,M_199709,M,STATS,mg m^-3,1594991195,1595002203,ATLANTIS_NEUS,17,295,211,0.492013514,3.266563416,1.167808175,1.285045983,1.21823387,0.446921758,211,0.379671454,3.266563416,1.103675008,1.203198805,1.130890718,0.450226069,,
